symbol,signal_time,entry_time,raw_entry_open,sweep_low,ref_low,btc_sigma,vol_percentile,vol_scalar,vol_history_count,atr14
BTC,2019-07-22 16:00:00,2019-07-22 20:00:00,10163.75,10100.0,10121.84,0.024570969317376352,0.978702807357212,0.5,1033,268.0285714285713
ETH,2019-07-22 16:00:00,2019-07-22 20:00:00,213.53,212.25,212.52,0.024570969317376352,0.978702807357212,0.5,1033,6.266428571428569
BTC,2019-08-13 16:00:00,2019-08-13 20:00:00,10936.28,10788.45,10911.0,0.017011955506627607,0.6549356223175966,1.0,1165,159.81642857142847
BTC,2019-08-14 08:00:00,2019-08-14 12:00:00,10554.72,10410.0,10541.0,0.01693203321038651,0.6526946107784432,1.0,1169,169.98857142857145
BTC,2019-08-16 04:00:00,2019-08-16 08:00:00,9937.57,9750.0,9911.0,0.015994957945727042,0.620016963528414,1.0,1179,286.2414285714286
BTC,2019-08-21 16:00:00,2019-08-21 20:00:00,10107.14,9858.0,9921.16,0.014540411654882351,0.5833333333333334,1.0,1212,234.7785714285714
BTC,2019-10-30 08:00:00,2019-10-30 12:00:00,9096.23,9018.0,9072.0,0.015021580699101958,0.6895705521472393,0.5,1630,221.34214285714305
BTC,2019-10-30 12:00:00,2019-10-30 16:00:00,9093.72,9001.01,9018.0,0.014849443655155224,0.6824034334763949,0.5,1631,208.1035714285716
BTC,2019-10-31 08:00:00,2019-10-31 12:00:00,9109.53,8913.0,9001.01,0.014848223740534261,0.6803178484107579,0.5,1636,197.35928571428576
BTC,2019-11-07 20:00:00,2019-11-08 00:00:00,9214.0,9101.0,9119.0,0.014737924795134274,0.661511005353956,0.5,1681,107.98357142857132
BTC,2019-11-11 08:00:00,2019-11-11 12:00:00,8726.17,8618.68,8696.0,0.014669953395872931,0.6586368977673326,1.0,1702,123.74071428571435
BTC,2019-11-12 12:00:00,2019-11-12 16:00:00,8703.61,8567.6,8618.68,0.01465210661998349,0.6541837331772966,1.0,1709,136.1757142857141
BTC,2020-01-19 08:00:00,2020-01-19 12:00:00,8681.16,8524.2,8586.0,0.010994546464040756,0.29773156899810965,1.0,2116,174.24714285714293
BTC,2020-01-19 20:00:00,2020-01-20 00:00:00,8701.72,8466.0,8524.2,0.011011376027628408,0.3020292590844738,1.0,2119,169.39500000000004
BTC,2020-01-23 16:00:00,2020-01-23 20:00:00,8369.9,8306.39,8326.0,0.010747517772614297,0.27310924369747897,1.0,2142,119.40928571428569
BTC,2020-01-24 00:00:00,2020-01-24 04:00:00,8320.59,8275.5,8306.39,0.010775517829081583,0.27472014925373134,1.0,2144,121.25
BTC,2020-01-24 08:00:00,2020-01-24 12:00:00,8413.42,8238.0,8275.5,0.010782441475525753,0.27586206896551724,1.0,2146,115.60857142857147
BTC,2020-02-02 04:00:00,2020-02-02 08:00:00,9370.53,9120.0,9204.44,0.011083664860614375,0.3210550250113688,1.0,2199,124.91500000000009
BTC,2020-02-04 08:00:00,2020-02-04 12:00:00,9182.81,9108.0,9120.0,0.011049715637344025,0.3178119349005425,1.0,2212,134.62285714285736
BTC,2020-02-04 12:00:00,2020-02-04 16:00:00,9207.02,9093.01,9108.0,0.011043844620447286,0.31721644826028017,1.0,2213,125.95928571428587
ETH,2020-02-16 12:00:00,2020-02-16 16:00:00,258.84,256.06,256.08,0.009250489481148934,0.09584245076586433,1.0,2285,9.997857142857145
BTC,2020-02-17 12:00:00,2020-02-17 16:00:00,9635.27,9452.67,9568.0,0.00946252698477908,0.12789175032736796,1.0,2291,199.97571428571413
BTC,2020-02-19 20:00:00,2020-02-20 00:00:00,9594.65,9350.0,9452.67,0.009787350219062775,0.1953125,1.0,2304,210.48571428571435
BTC,2020-02-24 16:00:00,2020-02-24 20:00:00,9601.14,9473.56,9550.21,0.009560140238269173,0.15259322760394342,1.0,2333,142.76785714285728
ETH,2020-02-25 04:00:00,2020-02-25 08:00:00,257.63,254.85,256.0,0.009596279172118406,0.16095890410958905,1.0,2336,7.025714285714285
ETH,2020-02-25 16:00:00,2020-02-25 20:00:00,250.4,245.93,250.13,0.009776981069464155,0.20436083796494228,1.0,2339,7.891428571428572
BTC,2020-02-25 20:00:00,2020-02-26 00:00:00,9316.48,9250.0,9281.0,0.009741248753315205,0.20085470085470086,1.0,2340,170.60785714285728
ETH,2020-02-25 20:00:00,2020-02-26 00:00:00,246.67,244.44,245.93,0.009741248753315205,0.20085470085470086,1.0,2340,8.177142857142858
BTC,2020-02-26 08:00:00,2020-02-26 12:00:00,9158.36,9102.0,9111.0,0.009800055968614996,0.2087067861715749,1.0,2343,164.4564285714288
ETH,2020-02-26 16:00:00,2020-02-26 20:00:00,229.77,215.66,225.98,0.009962421879444943,0.22345415778251598,1.0,2345,9.895714285714291
ETH,2020-04-20 20:00:00,2020-04-21 00:00:00,170.21,166.7,167.14,0.01579488363767179,0.7438202247191011,0.5,2670,6.5792857142857155
ETH,2020-05-04 00:00:00,2020-05-04 04:00:00,203.6,202.03,202.07,0.013715941248293667,0.5503819570753001,1.0,2749,4.5200000000000005
BTC,2020-05-04 04:00:00,2020-05-04 08:00:00,8648.42,8522.0,8573.98,0.013737665021783807,0.5509090909090909,1.0,2750,187.6542857142857
ETH,2020-05-11 16:00:00,2020-05-11 20:00:00,187.3,176.0,179.59,0.016323628225768706,0.7599284436493738,0.5,2795,7.734999999999998
BTC,2020-05-21 08:00:00,2020-05-21 12:00:00,9389.97,9228.0,9326.0,0.016207756863785613,0.7476340694006309,0.5,2853,193.5699999999997
BTC,2020-05-21 16:00:00,2020-05-21 20:00:00,9065.81,8815.0,8949.74,0.016412661053359496,0.7565674255691769,0.5,2855,214.1185714285713
ETH,2020-05-21 16:00:00,2020-05-21 20:00:00,198.61,191.71,196.6,0.016412661053359496,0.7565674255691769,0.5,2855,4.509999999999999
BTC,2020-05-25 00:00:00,2020-05-25 04:00:00,8786.57,8642.72,8700.0,0.016134314839180302,0.7408695652173913,0.5,2875,154.85714285714286
ETH,2020-05-26 16:00:00,2020-05-26 20:00:00,199.3,196.9,197.12,0.01617948742562663,0.7421143847487002,0.5,2885,3.8671428571428583
BTC,2020-06-02 12:00:00,2020-06-02 16:00:00,9468.08,9266.0,9381.41,0.016054172012751656,0.7317156527682843,0.5,2926,219.96000000000004
BTC,2020-06-15 04:00:00,2020-06-15 08:00:00,9123.3,8910.45,9122.0,0.011934776891439808,0.354763491005996,1.0,3002,119.22499999999971
ETH,2020-06-15 04:00:00,2020-06-15 08:00:00,224.59,218.27,224.07,0.011934776891439808,0.354763491005996,1.0,3002,3.703571428571426
BTC,2020-08-02 04:00:00,2020-08-02 08:00:00,11325.95,10518.5,10831.0,0.008622594454143935,0.10121580547112462,1.0,3290,319.69285714285695
ETH,2020-08-07 12:00:00,2020-08-07 16:00:00,385.47,376.75,380.77,0.009238221815704604,0.13154726068633354,1.0,3322,8.19857142857143
BTC,2020-08-11 12:00:00,2020-08-11 16:00:00,11480.78,11372.0,11450.0,0.009827200001994416,0.23401075911536162,1.0,3346,204.44
BTC,2020-08-11 16:00:00,2020-08-11 20:00:00,11387.05,11285.0,11372.0,0.009852119692044829,0.23483716761278758,1.0,3347,215.99428571428572
ETH,2020-08-11 16:00:00,2020-08-11 20:00:00,380.53,376.24,377.4,0.009852119692044829,0.23483716761278758,1.0,3347,7.708571428571438
BTC,2020-08-11 20:00:00,2020-08-12 00:00:00,11392.09,11125.0,11285.0,0.0098351936497297,0.234468339307049,1.0,3348,226.43642857142862
ETH,2020-08-11 20:00:00,2020-08-12 00:00:00,378.99,367.0,376.24,0.0098351936497297,0.234468339307049,1.0,3348,8.208571428571437
ETH,2020-08-12 04:00:00,2020-08-12 08:00:00,379.1,365.85,367.0,0.009836408123378057,0.23492537313432835,1.0,3350,8.840000000000003
BTC,2020-08-19 04:00:00,2020-08-19 08:00:00,11823.34,11612.71,11686.0,0.010734839665594286,0.3263561320754717,1.0,3392,217.0400000000001
ETH,2020-08-19 04:00:00,2020-08-19 08:00:00,413.37,402.0,412.47,0.010734839665594286,0.3263561320754717,1.0,3392,10.184285714285718
BTC,2020-08-19 20:00:00,2020-08-20 00:00:00,11754.38,11561.0,11612.71,0.010789102189884856,0.3333333333333333,1.0,3396,195.20285714285728
ETH,2020-08-19 20:00:00,2020-08-20 00:00:00,407.46,393.25,395.0,0.010789102189884856,0.3333333333333333,1.0,3396,10.53571428571429
ETH,2020-08-22 00:00:00,2020-08-22 04:00:00,385.39,379.92,385.1,0.010790348587790323,0.33558228219419184,1.0,3409,9.04928571428571
BTC,2020-08-25 12:00:00,2020-08-25 16:00:00,11419.42,11328.03,11411.87,0.01078040420487298,0.33090379008746357,1.0,3430,119.55928571428532
ETH,2020-08-25 12:00:00,2020-08-25 16:00:00,385.56,380.4,381.58,0.01078040420487298,0.33090379008746357,1.0,3430,8.674285714285721
ETH,2020-10-06 08:00:00,2020-10-06 12:00:00,346.12,343.6,343.7,0.007713069393549514,0.07986960065199673,1.0,3681,4.644285714285709
ETH,2020-10-06 12:00:00,2020-10-06 16:00:00,351.35,341.0,343.6,0.007685131778135404,0.07984790874524715,1.0,3682,5.202857142857137
ETH,2020-10-06 20:00:00,2020-10-07 00:00:00,340.8,336.8,339.5,0.007751718487623355,0.08143322475570032,1.0,3684,5.812142857142858
ETH,2020-10-07 00:00:00,2020-10-07 04:00:00,336.85,332.18,336.8,0.007743856517095482,0.08113975576662144,1.0,3685,5.860000000000001
BTC,2020-10-16 04:00:00,2020-10-16 08:00:00,11305.87,11200.0,11250.83,0.007373715194895092,0.08048128342245989,1.0,3740,135.31428571428555
ETH,2020-10-16 08:00:00,2020-10-16 12:00:00,369.94,361.18,365.0,0.007383555664293196,0.08233092755947607,1.0,3741,6.747857142857129
ETH,2020-10-26 08:00:00,2020-10-26 12:00:00,405.11,400.0,401.3,0.007709235184872909,0.1076032622993949,1.0,3801,5.93500000000001
ETH,2020-10-26 16:00:00,2020-10-26 20:00:00,391.5,382.3,391.5,0.0077781813929343625,0.10991322640021035,1.0,3803,7.260714285714292
ETH,2020-10-28 12:00:00,2020-10-28 16:00:00,387.54,380.52,382.3,0.008187954946316477,0.11877294179339276,1.0,3814,8.98071428571429
ETH,2020-10-30 08:00:00,2020-10-30 12:00:00,379.44,373.29,375.06,0.008490047633931836,0.13202614379084968,1.0,3825,8.937857142857151
ETH,2020-11-03 04:00:00,2020-11-03 08:00:00,375.52,370.23,371.4,0.008840988455682455,0.14189189189189189,1.0,3848,7.057142857142845
ETH,2020-11-15 20:00:00,2020-11-16 00:00:00,448.07,440.19,442.75,0.011544421017699296,0.49133537206931704,1.0,3924,8.44571428571429
ETH,2020-11-26 08:00:00,2020-11-26 12:00:00,512.69,482.0,505.0,0.013377807236301147,0.6192626034612491,1.0,3987,26.064285714285695
BTC,2020-11-26 16:00:00,2020-11-26 20:00:00,16516.86,16188.0,16334.0,0.013510706693314167,0.6257207320130358,1.0,3989,644.4571428571427
ETH,2020-11-26 16:00:00,2020-11-26 20:00:00,500.16,481.0,482.0,0.013510706693314167,0.6257207320130358,1.0,3989,25.42285714285713
ETH,2020-12-05 00:00:00,2020-12-05 04:00:00,576.0,560.88,565.82,0.014150726495266051,0.6855657340925971,0.5,4039,15.442857142857147
BTC,2020-12-08 12:00:00,2020-12-08 16:00:00,18809.91,18610.0,18700.0,0.013280341613622607,0.6007389162561576,1.0,4060,272.4021428571429
ETH,2020-12-08 12:00:00,2020-12-08 16:00:00,574.13,568.21,570.73,0.013280341613622607,0.6007389162561576,1.0,4060,10.896428571428569
BTC,2020-12-09 00:00:00,2020-12-09 04:00:00,18300.0,18032.0,18200.0,0.013412320333394975,0.6138321437361556,1.0,4063,300.82357142857137
ETH,2020-12-09 00:00:00,2020-12-09 04:00:00,552.11,542.0,549.22,0.013412320333394975,0.6138321437361556,1.0,4063,11.64499999999999
BTC,2020-12-09 08:00:00,2020-12-09 12:00:00,18244.94,17650.0,17830.0,0.013347505791635761,0.607380073800738,1.0,4065,341.53071428571405
ETH,2020-12-09 08:00:00,2020-12-09 12:00:00,561.89,530.43,537.0,0.013347505791635761,0.607380073800738,1.0,4065,13.448571428571427
ETH,2020-12-20 20:00:00,2020-12-21 00:00:00,638.1,621.01,625.76,0.013734289095052908,0.6364296081277213,1.0,4134,14.820714285714287
BTC,2020-12-21 12:00:00,2020-12-21 16:00:00,22693.65,21815.0,22350.0,0.014439052553274035,0.7203963267278879,0.5,4138,702.5092857142861
ETH,2020-12-21 12:00:00,2020-12-21 16:00:00,609.84,595.9,603.0,0.014439052553274035,0.7203963267278879,0.5,4138,17.451428571428576
ETH,2020-12-22 08:00:00,2020-12-22 12:00:00,611.58,588.0,591.46,0.014277388711336547,0.7064928795558774,0.5,4143,18.464999999999993
BTC,2021-01-04 08:00:00,2021-01-04 12:00:00,30742.99,28130.0,28624.57,0.016255915455173294,0.8258706467661692,0.5,4221,1746.9292857142862
BTC,2021-01-10 20:00:00,2021-01-11 00:00:00,38150.02,35111.11,36500.0,0.01891462373650865,0.9065727699530517,0.5,4260,1785.1292857142855
BTC,2021-01-11 00:00:00,2021-01-11 04:00:00,35438.23,33600.0,35111.11,0.019772117109606104,0.9098803097864351,0.5,4261,1989.7535714285711
ETH,2021-01-11 00:00:00,2021-01-11 04:00:00,1105.02,1010.91,1065.0,0.019772117109606104,0.9098803097864351,0.5,4261,81.99285714285718
BTC,2021-01-11 04:00:00,2021-01-11 08:00:00,34372.25,32538.0,33600.0,0.019934579264158772,0.9103707179727827,0.5,4262,2073.766428571428
BTC,2021-01-11 16:00:00,2021-01-11 20:00:00,32254.63,30420.0,31115.0,0.020868660365973263,0.9158264947245017,0.5,4265,2381.4421428571427
ETH,2021-01-11 16:00:00,2021-01-11 20:00:00,984.15,915.0,950.0,0.020868660365973263,0.9158264947245017,0.5,4265,96.86357142857143
BTC,2021-01-17 08:00:00,2021-01-17 12:00:00,35270.0,33850.0,34408.0,0.02397484395977368,0.9453361246801582,0.5,4299,1631.6200000000001
BTC,2021-01-20 16:00:00,2021-01-20 20:00:00,35197.12,33400.0,33850.0,0.023958713477420856,0.941884695531373,0.5,4319,1262.4099999999994
ETH,2021-01-21 12:00:00,2021-01-21 16:00:00,1188.54,1185.75,1188.0,0.024710534069744768,0.9528214616096207,0.5,4324,81.88071428571429
ETH,2021-01-21 16:00:00,2021-01-21 20:00:00,1231.02,1164.0,1185.75,0.024827678936752817,0.9572254335260115,0.5,4325,82.21428571428574
BTC,2021-01-22 00:00:00,2021-01-22 04:00:00,30943.4,28850.0,30071.0,0.025108393051472704,0.958169632539866,0.5,4327,1634.9535714285714
ETH,2021-01-22 00:00:00,2021-01-22 04:00:00,1160.65,1042.31,1086.0,0.025108393051472704,0.958169632539866,0.5,4327,89.37214285714289
BTC,2021-01-26 12:00:00,2021-01-26 16:00:00,31750.24,30837.37,30900.0,0.025788954092713774,0.9577400091869546,0.5,4354,1175.4092857142857
ETH,2021-01-27 12:00:00,2021-01-27 16:00:00,1281.4,1207.0,1244.56,0.025744841881284487,0.9573394495412844,0.5,4360,65.5664285714286
ETH,2021-02-01 00:00:00,2021-02-01 04:00:00,1316.91,1269.99,1281.12,0.028724482926782598,0.9639844996580806,0.5,4387,41.765
BTC,2021-02-15 00:00:00,2021-02-15 04:00:00,47120.31,45570.79,46125.0,0.02444002376368065,0.9159024826660702,0.5,4471,1225.357142857143
BTC,2021-02-22 12:00:00,2021-02-22 16:00:00,53236.69,47622.0,50918.0,0.022449969215821982,0.8830823737821081,0.5,4516,2125.5314285714294
BTC,2021-02-26 04:00:00,2021-02-26 08:00:00,44986.99,44106.78,44892.56,0.0248455768817178,0.9279418245923314,0.5,4538,2155.9199999999996
SOL,2021-02-27 20:00:00,2021-02-28 00:00:00,13.1853,13.01,13.1,0.024842193586484873,0.9276605101143359,0.5,4548,1.1013
BTC,2021-02-28 04:00:00,2021-02-28 08:00:00,44400.83,43738.65,44106.78,0.024729897679187308,0.9221978021978022,0.5,4550,1977.9892857142856
SOL,2021-02-28 04:00:00,2021-02-28 08:00:00,12.1529,11.97,12.028,0.024729897679187308,0.9221978021978022,0.5,4550,1.0332714285714284
ETH,2021-02-28 12:00:00,2021-02-28 16:00:00,1318.29,1293.18,1313.74,0.022815752595907852,0.8837873462214412,0.5,4552,72.14714285714284
BTC,2021-02-28 16:00:00,2021-02-28 20:00:00,44402.88,43000.0,43168.0,0.022081947127801208,0.8710740171315616,0.5,4553,1805.739285714286
BTC,2021-03-05 00:00:00,2021-03-05 04:00:00,47289.81,46300.0,47047.6,0.022445274041766747,0.875955448787945,0.5,4579,1662.2221428571434
ETH,2021-03-05 00:00:00,2021-03-05 04:00:00,1481.53,1445.45,1455.52,0.022445274041766747,0.875955448787945,0.5,4579,59.06000000000001
SOL,2021-03-05 04:00:00,2021-03-05 08:00:00,12.4904,12.2508,12.35,0.022442910150973317,0.8753275109170305,0.5,4580,0.5137714285714283
ETH,2021-03-05 08:00:00,2021-03-05 12:00:00,1480.24,1441.66,1445.45,0.022428979994731174,0.8740449683475223,0.5,4581,57.35285714285716
SOL,2021-03-05 08:00:00,2021-03-05 12:00:00,12.5271,12.1251,12.2508,0.022428979994731174,0.8740449683475223,0.5,4581,0.5106571428571426
SOL,2021-03-06 12:00:00,2021-03-06 16:00:00,12.2724,11.9,12.0025,0.02241342974935725,0.8716216216216216,0.5,4588,0.5166571428571428
ETH,2021-03-12 12:00:00,2021-03-12 16:00:00,1775.56,1719.72,1725.0,0.019792921587901063,0.8386678200692042,0.5,4624,50.90928571428575
SOL,2021-03-15 04:00:00,2021-03-15 08:00:00,13.9304,13.7233,13.8439,0.020058671222512987,0.8405172413793104,0.5,4640,0.54115
BTC,2021-03-15 08:00:00,2021-03-15 12:00:00,56150.8,54600.0,54962.84,0.0201692395259098,0.8427063132945486,0.5,4641,1776.0049999999999
SOL,2021-03-15 08:00:00,2021-03-15 12:00:00,14.2465,13.6179,13.7233,0.0201692395259098,0.8427063132945486,0.5,4641,0.5394214285714286
ETH,2021-03-16 00:00:00,2021-03-16 04:00:00,1748.59,1711.68,1723.22,0.02028548253334119,0.8430570505920344,0.5,4645,56.7892857142857
SOL,2021-03-16 04:00:00,2021-03-16 08:00:00,13.5555,13.1389,13.4717,0.02020374542788477,0.8428755919070168,0.5,4646,0.5250928571428571
SOL,2021-03-17 08:00:00,2021-03-17 12:00:00,13.2976,13.0326,13.1389,0.02023222111863375,0.8428970556630131,0.5,4653,0.48082142857142846
SOL,2021-03-21 04:00:00,2021-03-21 08:00:00,13.9458,13.8012,13.8554,0.020631881063561373,0.8449529512403764,0.5,4676,0.3154142857142859
SOL,2021-03-21 12:00:00,2021-03-21 16:00:00,13.9242,13.638,13.6755,0.020579232714485172,0.8441641727233861,0.5,4678,0.3285142857142858
SOL,2021-03-26 00:00:00,2021-03-26 04:00:00,12.689,12.3043,12.47,0.017782054486039128,0.7893730074388948,0.5,4705,0.553807142857143
BTC,2021-04-04 00:00:00,2021-04-04 04:00:00,57492.42,56388.0,56880.0,0.014806291419497295,0.6789241437276738,0.5,4759,930.2635714285716
ETH,2021-04-07 08:00:00,2021-04-07 12:00:00,1977.88,1957.59,1975.24,0.014552214696705635,0.6541117388575016,1.0,4779,54.09499999999996
BTC,2021-04-07 12:00:00,2021-04-07 16:00:00,56451.46,55612.0,55700.0,0.014531978427955974,0.649581589958159,1.0,4780,1073.912857142858
ETH,2021-04-07 12:00:00,2021-04-07 16:00:00,1976.91,1930.01,1957.59,0.014531978427955974,0.649581589958159,1.0,4780,57.40642857142854
BTC,2021-04-07 16:00:00,2021-04-07 20:00:00,56153.84,55473.0,55612.0,0.014534641020667326,0.6509098514955031,1.0,4781,1101.622142857144
SOL,2021-04-11 04:00:00,2021-04-11 08:00:00,26.3351,25.5131,25.6431,0.013999323045994029,0.5789254477301125,1.0,4802,1.0573
SOL,2021-04-14 08:00:00,2021-04-14 12:00:00,26.0,25.4909,25.5131,0.012970314697247328,0.49678489939846504,1.0,4821,1.1869214285714278
SOL,2021-04-14 12:00:00,2021-04-14 16:00:00,25.7587,24.7,25.4909,0.013090579268587752,0.5006221484861053,1.0,4822,1.2130428571428564
BTC,2021-04-17 16:00:00,2021-04-17 20:00:00,60705.02,59580.91,60000.0,0.011877213467772584,0.41189836810576325,1.0,4841,1157.2649999999994
BTC,2021-05-04 16:00:00,2021-05-04 20:00:00,54539.73,53201.01,53526.0,0.017230183942255582,0.7857576370625127,0.5,4943,1370.6985714285713
SOL,2021-05-04 16:00:00,2021-05-04 20:00:00,44.551,42.26,42.324,0.017230183942255582,0.7857576370625127,0.5,4943,2.0781428571428577
BTC,2021-05-10 16:00:00,2021-05-10 20:00:00,55733.76,55516.85,55570.35,0.018172730064721247,0.808395260092388,0.5,4979,1457.5185714285722
BTC,2021-05-10 20:00:00,2021-05-11 00:00:00,55816.14,53400.0,55516.85,0.01817108861145457,0.8082329317269076,0.5,4980,1522.104285714286
SOL,2021-05-10 20:00:00,2021-05-11 00:00:00,42.868,39.0,42.0,0.01817108861145457,0.8082329317269076,0.5,4980,1.984071428571428
ETH,2021-07-08 08:00:00,2021-07-08 12:00:00,2168.59,2124.21,2157.32,0.01949517792082217,0.7820296379666104,0.5,5331,69.66999999999992
BTC,2021-08-03 04:00:00,2021-08-03 08:00:00,38593.43,37955.52,38512.0,0.01544484348848937,0.6456434560699964,1.0,5486,1002.9871428571429
BTC,2021-08-03 12:00:00,2021-08-03 16:00:00,38169.45,37703.75,37955.52,0.015458994196494099,0.6465014577259475,1.0,5488,942.4864285714284
BTC,2021-08-03 16:00:00,2021-08-03 20:00:00,38008.8,37642.03,37703.75,0.015462378371598785,0.6465658589907087,1.0,5489,962.8585714285712
BTC,2021-08-05 12:00:00,2021-08-05 16:00:00,38750.0,37332.7,37508.56,0.015270677664611895,0.6338181818181818,1.0,5500,870.611428571429
